extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
63	ENG 3606T72	LOOP LINKS 3 100/PER PAC KAGE		LOOP LINKS 3 100/PER PAC	KAGE		534091		911a2a90-25b0-cf93-e814-46a5e8436f72
64	ENG 4075RLA	48 ROLL APPLICATION TAPE		48 ROLL APPLICATION TAPE			746459		911a2a90-25b0-cf93-e814-46a5f8068872
65	ENG 44-06-SATIN	YELLOW GOLD WALL MOUNT H OLDER		YELLOW GOLD WALL MOUNT H	OLDER		822813		911a2a90-25b0-cf93-e814-46a50079a472
66	ENG 4X6	14OZ RED PRE-SEWN BANNER BLANK		14OZ RED PRE-SEWN BANNER	BLANK		571176		911a2a90-25b0-cf93-e814-46a5388bbe72
67	ENG 531-9045	BRASS OVAL JOHNSON		BRASS OVAL JOHNSON			286061		911a2a90-25b0-cf93-e814-46a5483bd672
68	ENG 5700	050 REFLECTIVE BLUE VINY L ROLL 15X10Y		050 REFLECTIVE BLUE VINY	L ROLL 15X10Y		748274		911a2a90-25b0-cf93-e814-46a520b4ee72
69	ENG 5709A52	BALL POINT HEX SET 13 PI ECE		BALL POINT HEX SET 13 PI	ECE		114232		911a2a90-25b0-cf93-e814-46a540ac0d73
70	ENG 602-204	WH/BK ROWMARK FLEXICOLOR 12X24 SHT		WH/BK ROWMARK FLEXICOLOR	12X24 SHT		384569		911a2a90-25b0-cf93-e814-46a538f14373
71	ENG 602-402	MATTE BLK/WHT ROWMARK FL EXICOLOR		MATTE BLK/WHT ROWMARK FL	EXICOLOR		346811		911a2a90-25b0-cf93-e814-46a568415f73
72	ENG 602-427	BK/BRASS FLEXIBRASS 12X2 4 SHEET		BK/BRASS FLEXIBRASS 12X2	4 SHEET		415439		911a2a90-25b0-cf93-e814-46a558407a73
73	ENG 602-744	YL/BK FLEXI-COLOR PLASTI C 12X24 SHT		YL/BK FLEXI-COLOR PLASTI	C 12X24 SHT		386045		911a2a90-25b0-cf93-e814-46a560099573
74	ENG 602-884	DEEP BRNZ/BK PLASTIC SHE ET 12X24		DEEP BRNZ/BK PLASTIC SHE	ET 12X24		429186		911a2a90-25b0-cf93-e814-46a5580fb073
75	ENG 602-937	VERDE/BRASS PLASTIC SHEE T 12X24		VERDE/BRASS PLASTIC SHEE	T 12X24		698675		911a2a90-25b0-cf93-e814-46a590e3cb73
76	ENG 60X144	.080 ALUMINUM MILL FINIS H		.080 ALUMINUM MILL FINIS	H		550264		911a2a90-25b0-cf93-e814-46a5c8f82973
77	ENG 722-514M	GLACIER BLUE/BK PLASTIC SHT 12X24		GLACIER BLUE/BK PLASTIC	SHT 12X24		715668		911a2a90-25b0-cf93-e814-46a50034e873
78	ENG 822-258	BERM. TAN/DK BN PLASTIC SHEET 12X24		BERM. TAN/DK BN PLASTIC	SHEET 12X24		586531		911a2a90-25b0-cf93-e814-46a538bd0374
79	ENG 822-422	CL BK/WH PLASTIC SHEET 1 2X24		CL BK/WH PLASTIC SHEET 1	2X24		561500		911a2a90-25b0-cf93-e814-46a5f0841f74
80	ENG 822-503	SAPPHIRE/WH PLASTIC SHEE T 12X24		SAPPHIRE/WH PLASTIC SHEE	T 12X24		715534		911a2a90-25b0-cf93-e814-46a5a06a3974
81	ENG 822-592	ROY.BL./WH TEXTURE PLAST IC 12X24		ROY.BL./WH TEXTURE PLAST	IC 12X24		392213		911a2a90-25b0-cf93-e814-46a548445874
82	ENG 822-892	COFF.BEAN/WH TEXTURE PLS TC. 12X24		COFF.BEAN/WH TEXTURE PLS	TC. 12X24		402940		911a2a90-25b0-cf93-e814-46a5c09b7474
83	ENG 822-992	TEXT,TEAL/WHT 1/16 INCH		TEXT,TEAL/WHT 1/16 INCH			229474		911a2a90-25b0-cf93-e814-46a568c09374
84	ENG 8836	54X50YD FLOOR LAMINATE R OLL CUT 26.5		54X50YD FLOOR LAMINATE R	OLL CUT 26.5		767750		911a2a90-25b0-cf93-e814-46a54881b674
85	ENG 8839	54X50YD TEDLAR LAMINATE ROLL SLIT 1/2		54X50YD TEDLAR LAMINATE	ROLL SLIT 1/2		694281		911a2a90-25b0-cf93-e814-46a5c894d274
86	ENG 922-172	12X24 WAL/WH PLASTIC SHE ET		12X24 WAL/WH PLASTIC SHE	ET		537033		911a2a90-25b0-cf93-e814-46a5c057f474
87	ENG 922-201	MATTE/WHITE REV ENG PLAS TIC 12X24		MATTE/WHITE REV ENG PLAS	TIC 12X24		298484		911a2a90-25b0-cf93-e814-46a5e09b1775
88	ENG 922-341	MATTE/SM.SV. 12X24 PLAST IC SHEET		MATTE/SM.SV. 12X24 PLAST	IC SHEET		690139		911a2a90-25b0-cf93-e814-46a530433e75
89	ENG 922-401	CLEAR/BLK REVERSE ENGRAV		CLEAR/BLK REVERSE ENGRAV			257601		911a2a90-25b0-cf93-e814-46a510506575
90	ENG 922-502	SAP.BL./WH 12X24 PLASTIC SHEET		SAP.BL./WH 12X24 PLASTIC	SHEET		590236		911a2a90-25b0-cf93-e814-46a568688b75
91	ENG 922-577	CEL.BL./GD 12X24 PLASTIC SHEET		CEL.BL./GD 12X24 PLASTIC	SHEET		590237		911a2a90-25b0-cf93-e814-46a5c010b375
92	ENG 922-601	LM REVERSE CLEAR MATTE/R ED		LM REVERSE CLEAR MATTE/R	ED		212669		911a2a90-25b0-cf93-e814-46a5d07dd175
93	ENG 922-937	VERDE/BRASS		VERDE/BRASS			312969		911a2a90-25b0-cf93-e814-46a5b805ee75
94	ENG 9500PC-F	4 2 SIDED TAPE		4 2 SIDED TAPE			181389		911a2a90-25b0-cf93-e814-46a5680b0b76
95	ENG 9500PC-H	6 2 SIDED TAPE		6 2 SIDED TAPE			207229		911a2a90-25b0-cf93-e814-46a5f0a82676
96	ENG A2030	12X24 ANODIZED ALUMINUM SHEET BLUE		12X24 ANODIZED ALUMINUM	SHEET BLUE		528194		911a2a90-25b0-cf93-e814-46a550543e76
97	ENG A250612	6X12 LICENSE PLATE ALUMI NUM W/SLOTS		6X12 LICENSE PLATE ALUMI	NUM W/SLOTS		245204		911a2a90-25b0-cf93-e814-46a598045a76
98	ENG A2629	.040 ANODIZED ALUMINUM S HEET		.040 ANODIZED ALUMINUM S	HEET		763588		911a2a90-25b0-cf93-e814-46a570267476
99	ENG A2633	BLACK ANODIZED ALUMINUM 12X24 SHEET		BLACK ANODIZED ALUMINUM	12X24 SHEET		425946		911a2a90-25b0-cf93-e814-46a570078e76
100	ENG A401824RC	18X24 .040 WHITE ALUM BL ANK		18X24 .040 WHITE ALUM BL	ANK		17825		911a2a90-25b0-cf93-e814-46a5d0fea976
101	ENG A4048120	.040 ALUM SHEET 48X120		.040 ALUM SHEET 48X120			714712		911a2a90-25b0-cf93-e814-46a5d056c576
102	ENG A404896/WHITE	.040 ALUMINUM SHEET 48X9 6		.040 ALUMINUM SHEET 48X9	6		821524		911a2a90-25b0-cf93-e814-46a56039df76
103	ENG A404896BBCA	BRITE BRUSH ANOD ALUM 4X 8 SHEET		BRITE BRUSH ANOD ALUM 4X	8 SHEET		305608		911a2a90-25b0-cf93-e814-46a5185ef876
104	ENG A404896BGA	.040 BRITE GOLD ANODIZED SHEET		.040 BRITE GOLD ANODIZED	SHEET		299121		911a2a90-25b0-cf93-e814-46a5f0721077
105	ENG A404896BL	ALUM SHEET HERON BLUE .0 40 4X8		ALUM SHEET HERON BLUE .0	40 4X8		103329		911a2a90-25b0-cf93-e814-46a580102977
