extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
17	HNS 4200/CM/2X	CLEAR MINT PERFORMANCE T EE		CLEAR MINT PERFORMANCE T	EE		852631		911a2a90-25b0-cf93-e814-4ba5b0b325d4
18	HNS 4200/CM/3X	CLEAR MINT PERFORMANCE T EE		CLEAR MINT PERFORMANCE T	EE		852612		911a2a90-25b0-cf93-e814-4ba5a0f03ed4
19	HNS 4200/CM/L	CLEAR MINT PERFORMANCE T EE		CLEAR MINT PERFORMANCE T	EE		852608		911a2a90-25b0-cf93-e814-4ba5586058d4
20	HNS 4200/CM/M	CLEAR MINT PERFORMANCE T EE		CLEAR MINT PERFORMANCE T	EE		852627		911a2a90-25b0-cf93-e814-4ba590d073d4
21	HNS 4200/CM/S	CLEAR MINT PERFORMANCE T EE		CLEAR MINT PERFORMANCE T	EE		852624		911a2a90-25b0-cf93-e814-4ba540338ed4
22	HNS 4200/CM/XL	CLEAR MINT PERFORMANCE T EE		CLEAR MINT PERFORMANCE T	EE		852629		911a2a90-25b0-cf93-e814-4ba5e8dfa7d4
23	HNS 4200/NLH/L	NEON LEMON HTHR S/S TEE		NEON LEMON HTHR S/S TEE			1071704		911a2a90-25b0-cf93-e814-4ba5f0ffc0d4
24	HNS 4200/RD/2X	DEEP RED PERFORMANCE TEE		DEEP RED PERFORMANCE TEE			852659		911a2a90-25b0-cf93-e814-4ba5f0a8dbd4
25	HNS 4200/RD/3X	DEEP RED PERFORMANCE TEE		DEEP RED PERFORMANCE TEE			852660		911a2a90-25b0-cf93-e814-4ba590c5f6d4
26	HNS 4200/RD/L	DEEP RED PERFORMANCE TEE		DEEP RED PERFORMANCE TEE			852616		911a2a90-25b0-cf93-e814-4ba5e83e11d5
27	HNS 4200/RD/M	DEEP RED PERFORMANCE TEE		DEEP RED PERFORMANCE TEE			852658		911a2a90-25b0-cf93-e814-4ba510f82ad5
28	HNS 4200/RD/S	DEEP RED PERFORMANCE TEE		DEEP RED PERFORMANCE TEE			852615		911a2a90-25b0-cf93-e814-4ba5802844d5
29	HNS 4200/RD/XL	DEEP RED PERFORMANCE TEE		DEEP RED PERFORMANCE TEE			852617		911a2a90-25b0-cf93-e814-4ba508fe5ed5
30	HNS 4200/RO/2X	DEEP ROYAL PERFORMANCE T EE		DEEP ROYAL PERFORMANCE T	EE		852655		911a2a90-25b0-cf93-e814-4ba5f04c78d5
31	HNS 4200/RO/3X	DEEP ROYAL PERFORMANCE T EE		DEEP ROYAL PERFORMANCE T	EE		852657		911a2a90-25b0-cf93-e814-4ba5686b91d5
32	HNS 4200/RO/L	DEEP ROYAL PERFORMANCE T EEE		DEEP ROYAL PERFORMANCE T	EEE		852652		911a2a90-25b0-cf93-e814-4ba5b854add5
33	HNS 4200/RO/M	DEEP ROYAL PERFORMANCE T EE		DEEP ROYAL PERFORMANCE T	EE		852639		911a2a90-25b0-cf93-e814-4ba5e058c7d5
34	HNS 4200/RO/S	DEEP ROYAL PERFORMANCE T EE		DEEP ROYAL PERFORMANCE T	EE		852635		911a2a90-25b0-cf93-e814-4ba5686ce0d5
35	HNS 4200/RO/XL	DEEP ROYAL PERFORMANCE T EE		DEEP ROYAL PERFORMANCE T	EE		852602		911a2a90-25b0-cf93-e814-4ba5f066f9d5
36	HNS 4200X/AS/M	ASH PERFORMANCE TEE		ASH PERFORMANCE TEE			519443		911a2a90-25b0-cf93-e814-4ba5907612d6
37	HNS 4200X/BK/2X	BLACK PERFORMANCE TEE		BLACK PERFORMANCE TEE			932703		911a2a90-25b0-cf93-e814-4ba538bf2bd6
38	HNS 4200X/BK/L	BLACK PERFORMANCE TEE		BLACK PERFORMANCE TEE			932701		911a2a90-25b0-cf93-e814-4ba5b8e444d6
39	HNS 4200X/BK/M	BLACK PERFORMANCE TEE		BLACK PERFORMANCE TEE			932699		911a2a90-25b0-cf93-e814-4ba5b0dd5dd6
40	HNS 4200X/BK/XL	BLACK PERFORMANCE TEE		BLACK PERFORMANCE TEE			932702		911a2a90-25b0-cf93-e814-4ba5d8e776d6
41	HNS 4200X/CC/XL	CHARISMA CORAL PERFORMAN CE TEE		CHARISMA CORAL PERFORMAN	CE TEE		220295		911a2a90-25b0-cf93-e814-4ba518d58fd6
42	HNS 4200X/CM/XL	CLEAN MINT PERFORMANCE T EE		CLEAN MINT PERFORMANCE T	EE		220297		911a2a90-25b0-cf93-e814-4ba5e03fa8d6
43	HNS 4200X/LS/2X	LIGHT STEEL PERFORMANCE TEE		LIGHT STEEL PERFORMANCE	TEE		932698		911a2a90-25b0-cf93-e814-4ba5c0a6c0d6
44	HNS 4200X/LS/L	LIGHT STEEL PERFORMANCE TEE		LIGHT STEEL PERFORMANCE	TEE		932695		911a2a90-25b0-cf93-e814-4ba5984bdad6
45	HNS 4200X/LS/M	LIGHT STEEL PERFORMANCE TEE		LIGHT STEEL PERFORMANCE	TEE		932693		911a2a90-25b0-cf93-e814-4ba53894f6d6
46	HNS 4200X/LS/XL	LIGHT STEEL PERFORMANCE TEE		LIGHT STEEL PERFORMANCE	TEE		932697		911a2a90-25b0-cf93-e814-4ba5b0990fd7
47	HNS 42LO/LS/M	LIGHT STEEL X-TEMP L/S T EE		LIGHT STEEL X-TEMP L/S T	EE		483652		911a2a90-25b0-cf93-e814-4ba5688c28d7
48	HNS 42TB/IFH/2X	ICE FALL HTHR PERFECT S/ S TEE		ICE FALL HTHR PERFECT S/	S TEE		1056380		911a2a90-25b0-cf93-e814-4ba5688c41d7
49	HNS 42TB/IFH/L	ICE FALL HTHR PERFECT S/ S TEE		ICE FALL HTHR PERFECT S/	S TEE		1056381		911a2a90-25b0-cf93-e814-4ba540cd5ad7
50	HNS 42TB/MGT/2X	MILITARY GR PERFECT TRIB LEND T		MILITARY GR PERFECT TRIB	LEND T		634856		911a2a90-25b0-cf93-e814-4ba550db73d7
51	HNS 42TB/MGT/L	MILITARY GR PERFECT TRIB LEND TEE		MILITARY GR PERFECT TRIB	LEND TEE		634852		911a2a90-25b0-cf93-e814-4ba5b86e8cd7
52	HNS 42TB/MGT/M	MILITARY GR PERFECT TRIB LEND TEE		MILITARY GR PERFECT TRIB	LEND TEE		634850		911a2a90-25b0-cf93-e814-4ba590e7a4d7
53	HNS 42TB/MGT/XL	MILITARY GR PERFECT TRIB LEND T.		MILITARY GR PERFECT TRIB	LEND T.		634854		911a2a90-25b0-cf93-e814-4ba5a866bdd7
54	HNS 42TB/NT/XL	NAVY PERFECT TRIBLEND TE E		NAVY PERFECT TRIBLEND TE	E		634858		911a2a90-25b0-cf93-e814-4ba52008d6d7
55	HNS 42TB/NV/2X	NAVY PERFECT TRIBLEND TE E		NAVY PERFECT TRIBLEND TE	E		634859		911a2a90-25b0-cf93-e814-4ba5a885eed7
56	HNS 42TB/RT/2X	ROYAL PERFECT TRIBLEND T EE		ROYAL PERFECT TRIBLEND T	EE		634864		911a2a90-25b0-cf93-e814-4ba5c09a07d8
57	HNS 42TB/RT/XL	ROYAL PERFECT TRIBLEND T EE		ROYAL PERFECT TRIBLEND T	EE		634861		911a2a90-25b0-cf93-e814-4ba5b8ac20d8
58	HNS 42V0/LS/M	LT STEEL WOMENS XTEMP V- NECK TEE		LT STEEL WOMENS XTEMP V-	NECK TEE		650062		911a2a90-25b0-cf93-e814-4ba590a239d8
