extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
167,ALT 9595/ELG-EG/XL,ECO LT GY/ECO GY HOODIE,,ECO LT GY/ECO GY HOODIE,,9595 elg eg xl eco lt light gray gy hoodie 395893,395893,,b95d65c6-81a4-73a6-d314-fce778af3275,395893,9595 elg eg xl eco lt light gray gy hoodie,no,
168,ALT AA1070/LHG/2X,LT HEATHER GREY TEE,,LT HEATHER GREY TEE,,aa1070 lhg 2x lt light gray heather grey tee 531613,531613,,b95d65c6-81a4-73a6-d314-fce7a8826675,531613,aa1070 lhg 2x lt light gray heather grey tee,no,
169,ALT AA1070/LHG/L,LT HEATHER GREY TEE,,LT HEATHER GREY TEE,,aa1070 lhg l lt light gray heather grey tee 531609,531609,,b95d65c6-81a4-73a6-d314-fce7c8029975,531609,aa1070 lhg l lt light gray heather grey tee,no,
170,ALT AA1070/LHG/M,LT HEATHER GREY TEE,,LT HEATHER GREY TEE,,aa1070 lhg m lt light gray heather grey tee 531611,531611,,b95d65c6-81a4-73a6-d314-fce788c4cb75,531611,aa1070 lhg m lt light gray heather grey tee,no,
171,ALT AA1070/LHG/S,LT HEATHER GREY TEE,,LT HEATHER GREY TEE,,aa1070 lhg s lt light gray heather grey tee 531607,531607,,b95d65c6-81a4-73a6-d314-fce7c0dcfd75,531607,aa1070 lhg s lt light gray heather grey tee,no,
172,ALT AA1070/LHG/XL,LT HEATHER GREY TEE,,LT HEATHER GREY TEE,,aa1070 lhg xl lt light gray heather grey tee 531612,531612,,b95d65c6-81a4-73a6-d314-fce7a85c2c76,531612,aa1070 lhg xl lt light gray heather grey tee,no,
173,ALT AA1070/PT/2X,PINK TIE DYE TEE,,PINK TIE DYE TEE,,aa1070 pt 2x pink tie dye tee 457017,457017,,b95d65c6-81a4-73a6-d314-fce7f0685a76,457017,aa1070 pt 2x pink tie dye tee,no,
174,ALT AA1070/PT/3X,PINK TIE DYE TEE,,PINK TIE DYE TEE,,aa1070 pt 3x pink tie dye tee 621230,621230,,b95d65c6-81a4-73a6-d314-fce77075a576,621230,aa1070 pt 3x pink tie dye tee,no,
175,ALT AA1070/PT/L,PINK TIE DYE TEE,,PINK TIE DYE TEE,,aa1070 pt l pink tie dye tee 457073,457073,,b95d65c6-81a4-73a6-d314-fce71008d776,457073,aa1070 pt l pink tie dye tee,no,
176,ALT AA1070/PT/M,PINK TIE DYE TEE,,PINK TIE DYE TEE,,aa1070 pt m pink tie dye tee 457072,457072,,b95d65c6-81a4-73a6-d314-fce7b0b80377,457072,aa1070 pt m pink tie dye tee,no,
177,ALT AA1070/PT/S,PINK TIE DYE TEE,,PINK TIE DYE TEE,,aa1070 pt s pink tie dye tee 457070,457070,,b95d65c6-81a4-73a6-d314-fce788a43f77,457070,aa1070 pt s pink tie dye tee,no,
178,ALT AA1070/PT/XL,PINK TIE DYE TEE,,PINK TIE DYE TEE,,aa1070 pt xl pink tie dye tee 457075,457075,,b95d65c6-81a4-73a6-d314-fce7d8c17c77,457075,aa1070 pt xl pink tie dye tee,no,
179,ALT AA1990/EI/M,ECO IVORY SLOUCHY HOODIE,,ECO IVORY SLOUCHY HOODIE,,aa1990 ei m eco ivory slouchy hoodie 973535,973535,,b95d65c6-81a4-73a6-d314-fce7f889bc77,973535,aa1990 ei m eco ivory slouchy hoodie,no,
180,ALT AA1990/EI/S,ECO IVORY SLOUCHY HOODIE,,ECO IVORY SLOUCHY HOODIE,,aa1990 ei s eco ivory slouchy hoodie 973534,973534,,b95d65c6-81a4-73a6-d314-fce798910078,973534,aa1990 ei s eco ivory slouchy hoodie,no,
181,ALT AA9582/EW/XL,ECO WHEAT MANIAC FLEECE,,ECO WHEAT MANIAC FLEECE,,aa9582 ew xl eco wheat maniac fleece 987810,987810,,b95d65c6-81a4-73a6-d314-fce708415478,987810,aa9582 ew xl eco wheat maniac fleece,no,
