extractseqno,prod,source-desc-name,attributegrp,descrip1,descrip2,descrip3,lookupnm,user24,rowpointer,_join_key,desc_src_www,trimmed_flag,feedback
57,AMB P-122SC,NAIL ON SHALLOW WALL BOX,,NAIL ON SHALLOW WALL BOX,,p 122sc nail on shallow wall bx box 800000,800000,,b95d65c6-81a4-73a6-d314-d8e72010be1e,800000,p 122sc nail on shallow wall bx box,no,
58,AMB P-181,1G 18Cu. PVC NEW WORK BO X W/NAILS,,1G 18Cu. PVC NEW WORK BO,X W/NAILS,p 181 1g 18cu. pvc new work box x w/ clamp nails 633010,633010,,b95d65c6-81a4-73a6-d314-d8e798c9eb1e,633010,p 181 1g 18cu. pvc new work box x w/ clamp nails,no,
59,AMB P-181QT,1G 18Cu. PVC NEW WORK W/ QUIK-THRED,,1G 18Cu. PVC NEW WORK W/,QUIK-THRED,p 181qt 1g 18cu. pvc new work w/ clamp quik thred 662681,662681,,b95d65c6-81a4-73a6-d314-d8e768bf201f,662681,p 181qt 1g 18cu. pvc new work w/ clamp quik thred,no,
60,AMB P-201,1G 20.5Cu. PVC NEW WORK BOX W/NAILS,,1G 20.5Cu. PVC NEW WORK,BOX W/NAILS,p 201 1g 20.5cu. pvc new work bx box w/ clamp nails 662682,662682,,b95d65c6-81a4-73a6-d314-d8e72058611f,662682,p 201 1g 20.5cu. pvc new work bx box w/ clamp nails,no,
61,AMB P-201QT,1G 20.5Cu. PVC NEW WORK W/ QUIK-THR,,1G 20.5Cu. PVC NEW WORK,W/ QUIK-THR,p 201qt 1g 20.5cu. pvc new work w/ clamp quik thr 662684,662684,,b95d65c6-81a4-73a6-d314-d8e7689d921f,662684,p 201qt 1g 20.5cu. pvc new work w/ clamp quik thr,no,
62,AMB P-240OW,2G PVC 40Cu. OLD WORK W/ EARS BOX,,2G PVC 40Cu. OLD WORK W/,EARS BOX,p 240ow 2g pvc 40cu. old work w/ clamp ears bx box 662685,662685,,b95d65c6-81a4-73a6-d314-d8e778fcc31f,662685,p 240ow 2g pvc 40cu. old work w/ clamp ears bx box,no,
63,AMB P-241,1G 24Cu. PVC NEW WORK BO X W/NAILS,,1G 24Cu. PVC NEW WORK BO,X W/NAILS,p 241 1g 24cu. pvc new work box x w/ clamp nails 633008,633008,,b95d65c6-81a4-73a6-d314-d8e7900a2520,633008,p 241 1g 24cu. pvc new work box x w/ clamp nails,no,
64,AMB P-241H,1G 24Cu. PVC NEW WORK BO X FACE MOUNT,,1G 24Cu. PVC NEW WORK BO,X FACE MOUNT,p 241h 1g 24cu. pvc new work box x face mount 662722,662722,,b95d65c6-81a4-73a6-d314-d8e708c05b20,662722,p 241h 1g 24cu. pvc new work box x face mount,no,
65,AMB P-241HQT,1G 24Cu. NEW WORK FM W/ QUIK THRED,,1G 24Cu. NEW WORK FM W/,QUIK THRED,p 241hqt 1g 24cu. new work fm w/ clamp quik thred 662724,662724,,9db6fac8-f502-728b-d914-331c98fe9b27,662724,p 241hqt 1g 24cu. new work fm w/ clamp quik thred,no,
66,AMB P-442,2G 43Cu. PVC NEW WORK BO X W/NAILS,,2G 43Cu. PVC NEW WORK BO,X W/NAILS,p 442 2g 43cu. pvc new work box x w/ clamp nails 655383,655383,,b95d65c6-81a4-73a6-d314-d8e728679420,655383,p 442 2g 43cu. pvc new work box x w/ clamp nails,no,
