extractseqno	prod	source-desc-name	attributegrp	descrip1	descrip2	descrip3	lookupnm	user24	rowpointer
185	ABB AF38ZB22-00RT-23	100-250V50/60HZ-D		100-250V50/60HZ-D			881984		911a2a90-25b0-cf93-e814-40a5f8df7d9f
186	ABB AF38ZB30-00RT-21	CONTRACTOR		CONTRACTOR			964399		911a2a90-25b0-cf93-e814-40a568de969f
187	ABB AF40-22-00-13	2NO-2NC POLE 60A 600V CO NT.		2NO-2NC POLE 60A 600V CO	NT.		258125		911a2a90-25b0-cf93-e814-40a5c8d57c5d
188	ABB AF40-30-11-11	40A 3P CONT 1NO/NC AUX 2 4V		40A 3P CONT 1NO/NC AUX 2	4V		442667		911a2a90-25b0-cf93-e814-40a580af955d
189	ABB AF40-30-11-13	40A 3P CONT 1NO/NC AUX 1 00-25		40A 3P CONT 1NO/NC AUX 1	00-25		442671		911a2a90-25b0-cf93-e814-40a5b08eae5d
190	ABB AF40-30-11-14	40A 3P CONT 1NO/NC AUX 2 50-50		40A 3P CONT 1NO/NC AUX 2	50-50		442672		911a2a90-25b0-cf93-e814-40a58853cb5d
191	ABB AF400-30-11-70	400A 3P 1NO1NC 240V COI		400A 3P 1NO1NC 240V COI			367986		911a2a90-25b0-cf93-e814-40a5e8c0e45d
192	ABB AF460-30-11-68	,3P CONTR,24-60VDC		,3P CONTR,24-60VDC			1106553		911a2a90-25b0-cf93-e814-40a50841fe5d
193	ABB AF52-30-11-11	53A 3P CONT 1NO/NC AUX 2 4V		53A 3P CONT 1NO/NC AUX 2	4V		442683		911a2a90-25b0-cf93-e814-40a578b6185e
194	ABB AF52-30-11-13	53A 3P CONT 1NO/NC AUX 1 00-25		53A 3P CONT 1NO/NC AUX 1	00-25		442685		911a2a90-25b0-cf93-e814-40a5f0bb315e
195	ABB AF52-30-11-14	53A 3P CONT 1NO/NC AUX 2 50-50		53A 3P CONT 1NO/NC AUX 2	50-50		442694		911a2a90-25b0-cf93-e814-40a5b8bc4a5e
196	ABB AF580-30-11-70	3P 750A 1NO/1NC 100-250V CTR		3P 750A 1NO/1NC 100-250V	CTR		237604		911a2a90-25b0-cf93-e814-40a5786b635e
197	ABB AF65-30-11-11	65A 3P CONT 1NO/1NC AUX 24V		65A 3P CONT 1NO/1NC AUX	24V		442724		911a2a90-25b0-cf93-e814-40a568e07b5e
198	ABB AF65-30-11-13	65A 3P CONT 1NO/NC AUX 1 00-25		65A 3P CONT 1NO/NC AUX 1	00-25		442725		911a2a90-25b0-cf93-e814-40a55855945e
199	ABB AF65-30-11-14	65A 3P CONT 1NO/NC AUX 2 50-50		65A 3P CONT 1NO/NC AUX 2	50-50		442771		911a2a90-25b0-cf93-e814-40a5f018ac5e
200	ABB AF65-30-22-13	CONTACTOR		CONTACTOR			527408		911a2a90-25b0-cf93-e814-40a56005c85e
201	ABB AF65R-30-22-13	REV CONT 3P 60HP 600VAC		REV CONT 3P 60HP 600VAC			813527		911a2a90-25b0-cf93-e814-40a5c07bec5e
202	ABB AF76SPTUM	FRONT		FRONT			950963		911a2a90-25b0-cf93-e814-48a560a4815d
203	ABB AF80-30-11-11	80A 3P CONT 1NO/NC AUX 2 4V		80A 3P CONT 1NO/NC AUX 2	4V		442773		911a2a90-25b0-cf93-e814-40a53064115f
204	ABB AF80-30-11-13	80A 3P CONT 1NO/NC AUX 1 00-25		80A 3P CONT 1NO/NC AUX 1	00-25		442774		911a2a90-25b0-cf93-e814-40a530e3325f
205	ABB AF80-30-11-14	80A 3P CONT 1NO/NC AUX 2 50-50		80A 3P CONT 1NO/NC AUX 2	50-50		442775		911a2a90-25b0-cf93-e814-40a590314d5f
206	ABB AF80-40-11-11	4P 105A 600VAC 1NO1NC CO NTACT		4P 105A 600VAC 1NO1NC CO	NTACT		307076		911a2a90-25b0-cf93-e814-40a58030685f
207	ABB AF96-30-11-11	96A 3P CONT 1NO/NC AUX 2 4V		96A 3P CONT 1NO/NC AUX 2	4V		442776		911a2a90-25b0-cf93-e814-40a5c07b825f
208	ABB AF96-30-11-13	96A 3P CONT 1NO/NC AUX 1 00-25		96A 3P CONT 1NO/NC AUX 1	00-25		442777		911a2a90-25b0-cf93-e814-40a5904b9c5f
209	ABB AF96-30-11-14	96A 3P CONT 1NO/NC AUX 2 50-50		96A 3P CONT 1NO/NC AUX 2	50-50		442778		911a2a90-25b0-cf93-e814-40a5b8b3b65f
210	ABB AFC16-04-00-84	.		.			1082683		911a2a90-25b0-cf93-e814-40a550bccf5f
211	ABB AFS190-30-12-13	3P 1NO2NC 100-250V		3P 1NO2NC 100-250V			794802		911a2a90-25b0-cf93-e814-40a5e8f6e85f
